asin,title,price,monthly_sales,revenue,geometry,structure,surface,confidence
B0D1R6JQZ1,"FASDUNT Shower Head with Handheld, High Pressure Handheld Shower Head with 80"" E",19.99,4000.0,79960.0,长条形,组合式,高亮,0
B0DDCBZ8W9,"MyHalos Filtered Shower Head for Hard Water Filter - High Pressure, Removes Chlo",74.99,3000.0,224969.99999999997,异形,单体式,纹理,0
B0BJQQVPY2,"Delta 6-Setting Chrome Shower Head with High Pressure Spray, 6 Inch Round Shower",49.99,1000.0,49990.0,圆形,单体式,高亮,0
B0DT22PSDT,Delta 6-Setting In2ition 2-in-1 Dual Shower Head with Handheld High Pressure Pro,71.75,1000.0,71750.0,长条形,组合式,高亮,0
B0FNWXG9Q7,"Magichome Filtered Shower Head with Handheld, High Pressure 10-Spd Detachable Ch",26.89,8000.0,215120.0,长条形,组合式,高亮,0
B0CCTNWYDH,MakeFit Filtered Shower Head Black - 6 Modes High Pressure Handheld Shower Head ,21.99,2000.0,43980.0,长条形,单体式,高亮,0
B01DVS3X56,"Moen Engage Magnetix Shower Head with Handheld Sprayer, 6 Spray Functions, Spot ",43.88,1000.0,43880.0,长条形,组合式,高亮,0
B07BS2W1PW,Moen Engage Chrome Magnetix 2-in-1 Combo Rain Showerhead with Detachable Handhel,79.78,1000.0,79780.0,圆形,组合式,高亮,0
B0CGRFJC9M,"PWERAN Filtered Shower Head with Handheld, High Pressure Water Flow and Multiple",19.98,3000.0,59940.0,长条形,组合式,高亮,0
B091G38BVG,Delta Arvo 14 Series Matte Black Shower Faucet Set with In2ition 2-in-1 Dual Sho,149.99,1000.0,149990.0,异形,组合式,高亮,0
B0FD3GL388,"Wide Rain Shower Head With 5 Modes Handheld Showerheads, High Pressure Showerhea",31.99,3000.0,95970.0,长条形,组合式,高亮,0
B0BMB6D9RD,"THE JOLIE FILTERED SHOWERHEAD | Clinically Tested, High Pressure Shower Filter",169.0,500.0,84500.0,异形,单体式,纹理,0
B0CRXCK4G7,"Delta Modern 14 Series Round Rain Shower System Faucet Set, Rainfall Brushed Nic",649.0,200.0,129800.0,圆形,单体式,高亮,0
B089B449X9,"6-Mode High Pressure Handheld Shower Head Set, Consumer Reports Recommended HOPO",19.99,1000.0,19990.0,长条形,单体式,高亮,0
B01MEFAKTZ,Moen Ignite Chrome Five-function Shower Head With 2.5 GPM High-Pressure Spray,20.05,500.0,10025.0,异形,单体式,高亮,0
B0FY78XS12,"Peicuai Shower Head Combo, 10-Inch High-Pressure Rainfall Shower Head with 11-In",25.99,500.0,12995.0,圆形,组合式,高亮,0
B0FVLS9Y8M,"Veken All Metal 10"" Shower Head with Handheld, Luxurious Square Double Rain Show",89.97,2000.0,179940.0,方形,组合式,纹理,0
B09LZ7Z3S8,"Delta Modern 14 Series Shower Faucet Set, Matte Black Shower Head and Handle Set",109.0,1000.0,109000.0,异形,单体式,高亮,0
B07HZH6JG2,"KOHLER 76465-G-BN Awaken 10"" Rain Shower Head, Single-Function Rainhead",223.38,100.0,22338.0,圆形,单体式,高亮,0
B0G6J9JT65,"Veken High Pressure Rain Shower Head with Handheld, Multi-Functions Square Rainf",36.99,1000.0,36990.0,方形,组合式,纹理,0
B0DT219MYV,"Delta 5-Setting HydroRain 2-in-1 Dual Shower Head with ProClean Spray, Brushed N",94.98,500.0,47490.0,圆形,组合式,高亮,0
B0CR1PBHHT,"Shower Head, 8 inch Multifunction High Pressure Rain Shower Head with Handheld S",32.99,2000.0,65980.0,圆形,组合式,高亮,0
B0CSFTCPPD,GRICH 2.5GPM Shower Head with Handheld Spray Combo: 2 in 1 Rainfall Shower Heads,38.99,2000.0,77980.0,圆形,组合式,高亮,0
B09LZ8S2PF,"Delta Modern 14 Series Square Bathtub and Shower Faucet Set, Matte Black Shower ",144.85,500.0,72425.0,方形,单体式,高亮,0
B0F98TK96Y,"High Pressure Fixed Showerheads, 5-Mode High Flow Fixed Showerheads, 4inch Rain ",8.9,1000.0,8900.0,圆形,单体式,高亮,0
B004XA284E,Speakman S-2252 Signature Icon Anystream Adjustable High Pressure Shower Head-2.,140.3,500.0,70150.0,异形,单体式,高亮,0
